Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1925448,"Madanpur Khadar, No. 1- GBSSS",English,28.529562,77.288844,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Co-ed
1925449,"Madanpur Khadar, No. 2- SKV",English,28.528389,77.289683,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925450,"Molar Band, No. 3- SBV",English,28.4948821,77.3240068,Evening,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925451,"SKV Middle, Jogabai, Batla House",English,28.56671,77.284713,Morning,Nursery,8,2225,Zone-25,22,South East,Government,Sarvodaya Middle Schools,Boys
1925452,"SBV Middle, Jogabai Batla House",English,28.525377,77.280106,Evening,Nursery,8,2225,Zone-25,22,South East,Government,Sarvodaya Middle Schools,Co-ed
1925453,Government Senior Secondary Special School (Co-ed) for The Hearing Impaired,English,28.540617,77.251883,General,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
2026002,Kitchner Road-SV,English,28.6027141,77.1872756,General,Nursery,12,2026,Zone-26,20,New Delhi,Government,Sarvodaya Sr. Secondary Schools,Girls
2026003,Pandara Road-GBSSS,English,28.60507489,77.23300479,General,6,12,2026,Zone-26,20,New Delhi,Government,Senior Secondary Schools,Boys
2026004,Pandara Road-SKV,English,28.60450405,77.23249091,General,Nursery,12,2026,Zone-26,20,New Delhi,Government,Sarvodaya Sr. Secondary Schools,Boys
2026005,Jor Bagh-SV,English,28.5881175,77.2190195,General,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
2026020,Baird Road-D. A. V. No. 2 Sec. School,English,,,Morning,6,10,2026,Zone-26,20,New Delhi,Aided,Secondary Schools,Boys
2026021,Mandir Marg-DTEA Sr. Sec. School,English,28.63490528,77.19999498,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
2026022,Lodhi Estate-DTEA Sr. Sec. School,English,28.59458824,77.22605134,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
2026023,Mandir Marg-Daya Nand Model Sr. Sec. School,English,28.63774746,77.20185132,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
2026024,Lodhi Estate-Delhi Kannada Sr. Sec. School,English,28.59825674,77.22782198,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
2026025,Mandir Marg-Har Court Butter Sr. Sec. School,English,28.63350494,77.19936017,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
2026026,Lal Bahadur Shastri Marg-JPM Blind Sr. Sec. School,English,28.59419354,77.23913931,Morning,Nursery,12,2026,Zone-26,20,New Delhi,Aided,Sarvodaya Sr. Secondary Schools,Boys
2026027,Canning Road-Kerala Edn. Society Sr. Sec. School,English,28.6213564,77.23132337,Morning,6,12,2026,Zone-26,20,New Delhi,Aided,Senior Secondary Schools,Boys
